Nombre,Enlace,Fecha,Generos,Precio,Desarrollador
Counter-Strike 2,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,"Aug 21, 2012","Action, Free To Play",Free,Valve
Palworld,https://store.steampowered.com/app/1623730/Palworld/?snr=1_7_7_230_150_1,"Jul 9, 2026","Action, Adventure, Indie, RPG",$29.99,Pocketpair
Cyberpunk 2077,https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_230_150_1,"","",$17.99,""
Apex Legends™,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_230_150_1,"Nov 4, 2020","Action, Adventure, Free To Play",Free,Respawn
Marvel's Spider-Man 2,https://store.steampowered.com/app/2651280/Marvels_SpiderMan_2/?snr=1_7_7_230_150_1,"Jan 30, 2025","Action, Adventure",$40.19,"Insomniac Games, Nixxes Software"
Warframe,https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_230_150_1,"","",Free,""
Marvel Rivals,https://store.steampowered.com/app/2767030/Marvel_Rivals/?snr=1_7_7_230_150_1,"Dec 5, 2024","Action, Free To Play",Free,NetEase Games
Baldur's Gate 3,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_230_150_1,"","",$41.99,""
Mistfall Hunter,https://store.steampowered.com/app/3282300/Mistfall_Hunter/?snr=1_7_7_230_150_1,"Jul 29, 2026","Action, Adventure",$22.49,Bellring Games
Dead by Daylight,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_230_150_1,"","",$19.99,""
Shift At Midnight,https://store.steampowered.com/app/3722330/Shift_At_Midnight/?snr=1_7_7_230_150_1,"Jul 22, 2026","Indie, Simulation",$9.99,Bun Muen
Assassin's Creed Black Flag Resynced,https://store.steampowered.com/app/3751950/Assassins_Creed_Black_Flag_Resynced/?snr=1_7_7_230_150_1,"","",$59.99,""
Wuthering Waves,https://store.steampowered.com/app/3513350/Wuthering_Waves/?snr=1_7_7_230_150_1,"Apr 28, 2025","Action, Adventure, RPG, Free To Play",Free,KURO GAMES
MECCHA CHAMELEON,https://store.steampowered.com/app/4704690/MECCHA_CHAMELEON/?snr=1_7_7_230_150_1,"Jun 9, 2026",Casual,$5.99,lemorion_1224
Big Walk,https://store.steampowered.com/app/1478500/Big_Walk/?snr=1_7_7_230_150_1,"Aug 4, 2026",Adventure,$14.99,House House
Marvel’s Spider-Man Remastered,https://store.steampowered.com/app/1817070/Marvels_SpiderMan_Remastered/?snr=1_7_7_230_150_1,"Aug 12, 2022","Action, Adventure, Casual",$23.99,"Insomniac Games, Nixxes Software"
Tom Clancy's Rainbow Six Siege,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_230_150_1,"","",Free,""
Cyberpunk 2077: Phantom Liberty,https://store.steampowered.com/app/2138330/Cyberpunk_2077_Phantom_Liberty/?snr=1_7_7_230_150_1,"","",$17.99,""
Halo: Campaign Evolved,https://store.steampowered.com/app/2806050/Halo_Campaign_Evolved/?snr=1_7_7_230_150_1,"Jul 28, 2026","Action, Adventure",$49.99,Halo Studios
Rust,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_230_150_1,"Feb 8, 2018","Action, Adventure, Indie, Massively Multiplayer, RPG",$19.99,Facepunch Studios
